TourAttraction,Big_col,Samll_col,Address,Local,Alien,Foreign,Total,Latitude,Longitude,category
춘천 명동 닭갈비 골목,체험관광지,이색거리,강원도 > 춘천시,"490,119","192,987","1,637","194,624",37.8794817,127.7275516,인문
백사장항,자연관광지,항구/포구,충청남도 > 태안군,"34,332","194,506",116,"194,621",36.5859757,126.3168381,자연
현산공원,휴양관광지,공원,강원도 > 양양군,"298,053","194,117",337,"194,454",38.0750281,128.6164727,인문
증산서원,역사관광지,유적지/사적지,경상남도 > 창원시 마산회원구,"516,481","194,282",154,"194,435",35.23177,128.508598,인문
용평리조트,휴양관광지,관광단지,강원도 > 평창군,"23,825","193,844",552,"194,396",37.643055,128.680043,인문
인천 모래내시장,쇼핑,상설시장,인천광역시 > 남동구,"458,731","193,802",537,"194,339",37.4554891,126.719869,쇼핑
대광사(성남),역사관광지,사찰,경기도 > 성남시 분당구,"129,234","193,358",547,"193,905",37.3467032,127.1276278,인문
부천문화원,문화시설,문화원,경기도 > 부천시,"419,405","192,749","1,014","193,762",37.4823615,126.7665571,인문
아양동 석불입상,역사관광지,종교성지,경기도 > 안성시,"745,140","192,745","1,005","193,750",37.067622,127.343828,인문
국사봉(거제),자연관광지,산,경상남도 > 거제시,"1,307,348","189,641","4,033","193,674",34.851494,128.672394,자연
고창 분청사기요지,역사관광지,유적지/사적지,전라북도 > 고창군,"37,254","192,892",488,"193,380",35.5388374,126.65583,인문
백운사(의왕),역사관광지,사찰,경기도 > 의왕시,"78,901","192,822",351,"193,173",37.3530556,127.0175,인문
광주 조선백자 요지,역사관광지,민속마을,경기도 > 광주시,"215,061","192,595",494,"193,088",37.467887,127.334243,인문
석모도,자연관광지,섬,인천광역시 > 강화군,"64,316","192,668",411,"193,079",37.6897861,126.332196,자연
부산 해운대 관광 유람선(오륙도),휴양관광지,유람선/잠수함관광,부산광역시 > 해운대구,"190,362","187,579","5,126","192,705",35.1584212,129.1706635,인문
용화사(진천),역사관광지,사찰,충청북도 > 진천군,"514,423","190,659","1,634","192,293",36.8551577,127.4506103,인문
원효사(경기),역사관광지,사찰,경기도 > 의정부시,"98,823","191,090",883,"191,973",37.7092421,127.0279347,인문
이천동 99계단 벽화마을,체험관광지,이색거리,대구광역시 > 남구,"192,185","190,628","1,328","191,955",35.8536605,128.5993897,인문
광주 대인시장 / 대인예술시장,쇼핑,상설시장,광주광역시 > 동구,"125,367","191,555",355,"191,910",35.1532139,126.9180673,쇼핑
평택남부문화예술회관,문화시설,공연장,경기도 > 평택시,"504,410","190,453","1,388","191,840",36.9913018,127.1140835,인문
전봉준 장군 생가터,역사관광지,생가,전라북도 > 고창군,"20,356","191,163",193,"191,356",35.4487856,126.6683058,인문
연꽃테마파크,자연관광지,자연생태관광지,경기도 > 시흥시,"250,719","190,106",970,"191,076",37.4022234,126.8072335,자연
회원현성지,역사관광지,성,경상남도 > 창원시 마산합포구,"384,416","190,089",476,"190,564",35.208471,128.559633,인문
추산근린공원,휴양관광지,공원,경상남도 > 창원시 마산합포구,"384,416","190,089",476,"190,564",35.206243,128.568952,인문
동두천 중앙시장,쇼핑,상설시장,경기도 > 동두천시,"432,282","188,342","1,834","190,176",37.9036693,127.0605344,쇼핑
삼척 죽서루,역사관광지,유적지/사적지,강원도 > 삼척시,"481,481","189,760",272,"190,031",37.4408645,129.1605041,인문
무량사(경기),역사관광지,사찰,경기도 > 고양시 덕양구,"48,538","188,633","1,248","189,881",37.6535516,126.9591356,인문
안동시장 찜닭골목,체험관광지,이색거리,경상북도 > 안동시,"548,741","187,439","2,117","189,556",36.5655154,128.7279935,인문
환성사(경산),역사관광지,사찰,경상북도 > 경산시,"21,161","189,231",75,"189,306",35.9362645,128.7659828,인문
이천도예마을,역사관광지,민속마을,경기도 > 이천시,"181,447","188,216","1,021","189,237",37.3062132,127.4040188,인문
지순택요(고려도요),역사관광지,민속마을,경기도 > 이천시,"181,447","188,216","1,021","189,237",37.3119346,127.3988802,인문
작은후진해수욕장,자연관광지,해수욕장,강원도 > 삼척시,"26,478","187,684","1,148","188,832",37.4643108,129.1754543,자연
알뜨르비행장 및 일본군 비행기 격납고,역사관광지,유적지/사적지,제주특별자치도 > 서귀포시,"80,056","186,158","2,659","188,817",33.2044378,126.2717056,인문
망월사(경기),역사관광지,사찰,경기도 > 광주시,"79,569","187,796",949,"188,745",37.7047222,127.0213889,인문
섭지코지,자연관광지,해안절경,제주특별자치도 > 서귀포시,"10,416","173,877","14,686","188,562",33.4242095,126.931111,자연
